Unit Code	Short Unit Title
ACCT100	PRINCIPLES OF ACCOUNTING
ACCT104	BUSINESS ACCOUNTING
ACCT200	ACCT INFORMATION FOR MANAGERS
ACCT204	MANAGERIAL ACCOUNTING A
ACCT207	FINANCIAL ACCOUNTING A
ACCT209	FINANCIAL ACCOUNTING B
ACCT300	AUDITING & ASSURANCE SERVICES
ACCT303	MANAGERIAL ACCOUNTING B
ACCT304	ACCOUNTING THEORY
ACCT600	ACCOUNTING FOR DECISION MAKING
ACCT601	AUST AUDITING & ASSURANCE SERV
ACCT602	ACCOUNTING & ACCOUNTABILITY
ACCT603	ACCOUNTING FOR CORPORATE STRUC
ACCT604	STRATEGIC MANAGERIAL ACCOUNTNG
ACCT605	STRATEGIC RESOURCE MANAGEMENT
ACOM100	PRINCIPLES OF MARKETING
ACOM101	FUNDAMENTALS OF MANAGEMENT
ACOM103	ENGLISH FOR ACADEMIC PURPOSES
ACOM105	ENGLISH COMMUNICATION SKILLS
ACOM106	BUSINESS COMMUNICATION SKILLS
ACOM107	AUSTRALIAN SOCIETY
ACOM108	NURSING ENGLISH 1
ACOM109	HEALTH FITNESS & PERFORMANCE
ACOM111	PSYCH SPORT & PHYS ACTIVITY
ACOM115	ENGL FOR ACADEMIC PURPOSES 2
ACOM116	INTRO TO NURSING IN AUSTRALIA
ACOM117	INTRO TO SCIENCE FOR NURSES
ACOM208	NURSING ENGLISH 2
ADAB113	AUS INDIG PEOPLES:CULTURE & ID
ADAB203	INDIGENOUS CONTEMPORARY ISSUES
ADAB204	AUS HISTORY: INDIGENOUS CONTXT
ADAB300	AUST HIST INDIGENOUS CONTEXT
ADAB304	INDIGENOUS TEACHERS IN AUS ED
ADAC224	UNDERSTANDING BEHV&DISABILITY
ADAC225	FAMILY STUDIES & DISABILITIES
ADAR308	CREATIVE ARTS EDUCATION 1
ADAR368	CREATIVE ARTS EDUCATION 1
ADAR422	CREATIVE ARTS EDUCATION 2
ADAR424	VISUAL ARTS EDUCATION
ADCU101	EARLY CHLD 1:PEDAGOGY & CURRIC
ADCU202	EARLY CHLD 4:BLD CONNECT&COMM
ADCU301	EARLY CHILDHOOD EDUCATION 2
ADDR403	DANCE / DRAMA EDUCATION
ADFD102	RACE&RACIMS IN AUST EDUCONTEXT
ADFD127	CONTEXT FOR LEARNING AND DEV
ADFD133	UNDERSTANDING LEARNING
ADFD136	EARLY CHLD 2:ECOL OF CHILDHOOD
ADFD167	CONTEXTS FOR LRNG & DEV.
ADFD210	GLOBAL PERSPECTIVES IN EDUCN
ADFD212	PROFESSIONAL ETHICS EDUCATION
ADFD218	PREP FOR CONTEXTS OF FIELD
ADFD220	TEACH'G & MAN'G LEARN'G ENVIR
ADFD221	CREAT'G INC' SAFE & SUPP SCHLS
ADFD227	EARLY CHLD3:PARTNSHP FOR LEARN
ADFD260	TEACHG & MANG LEARNG ENVIR
ADFD261	CREATG INCL SAFE & SUPP SCHLS
ADFD268	PREP FOR CONTEXTS OF FIELD
ADFD314	EARLY CHILD EDS:EARLY CHILD LE
ADFD447	DIVERSITY IN THE CLASSROOM
ADFD452	TRANSITION INTO THE PROFESSION
ADFD457	ACTION RES AS REFLECTIVE PRAC
ADFD458	CAT FOR DIVERSITY IN LIT&NUM
ADFX110	PROFESSIONAL EXP PRIMARY 1
ADFX111	PROF EXP EARLY CHILD 1 (0-2)
ADFX112	PROF EXP EARLY CHILD 1A
ADFX113	PROF EXP EARLY CHILDHOOD 1B
ADFX200	FIELD EXPERIENCE 2 (BED ATSI)
ADFX207	COMMUNITY ENGAGEMENT PROGRAM
ADFX212	PROFESSIONAL EXP PRIMARY 2A
ADFX213	PROFESSIONAL EXP PRIMARY 2B
ADFX215	PROF EXP EARLY CHILD 2 (3-5)
ADFX217	PROF EXP EARLY CHILD 2A
ADFX218	PROF EXP EARLY CHILDHOOD 2B
ADFX267	COMMUNITY ENGAGEMENT PROGRAM
ADFX310	PROFESSIONAL EXP PRIMARY 3
ADFX314	PROF EXP EARLY CHILD 3
ADFX413	PROFESSIONAL EXP PRIMARY 4
ADLA107	LINGUISTICS FOR LITERACY
ADLA108	CHILDREN'S LIT FOR LITERACY
ADLA167	LINGUISTICS FOR LITERACY
ADLA168	CHILDREN'S LIT FOR LITERACY
ADLA204	LITERACY EDUCATION 1
ADLA264	LITERACY EDUCATION 1
ADLA304	ENGLISH EDUCATION 3
ADLA309	LITERACY EDUCATION 2
ADMA103	EXPLORING MATHEMATICS 1
ADMA163	EXPLORING MATHEMATICS 1
ADMA202	MATHS: LEARNING & TEACHING 1
ADMA262	MATHS:LEARNING & TEACHING 1
ADMA309	EXPLORING MATHEMATICS 2
ADMA310	MATHS TEACHING & LEARNING 2
ADMA369	EXPLORING MATHEMATICS 2
ADMU416	MUSIC EDUCATION
